feature,importance
avg_throttle,0.88707006
rpm_throttle_interaction,0.09083293
power_estimate,0.01805614
rpm_squared,0.00076778495
avg_speed,0.00063894346
avg_rpm,0.00046337929
rpm_to_gear_ratio,0.00030619802
overall_variability,0.00025092467
gear_rpm_interaction,0.0002196365
speed_per_gear,0.0001955189
avg_throttle_std,0.000183359
speed_to_gear_ratio,0.00017035472
avg_gear,0.00014648559
speed_throttle_interaction,0.000112397676
avg_rpm_pow2,0.000102985214
avg_speed_std,9.826752e-05
throttle_squared,7.73261e-05
avg_rpm_std,6.360353e-05
SpeedFL,5.8070465e-05
speed_to_rpm_ratio,5.7608373e-05
speed_per_rpm,4.9242244e-05
speed_to_throttle_ratio,4.137546e-05
avg_drs,3.738857e-05
avg_speed_rolling_std_3,0.0
is_power_circuit,0.0
avg_rpm_lag2,0.0
avg_rpm_lag3,0.0
avg_rpm_rolling_mean_3,0.0
avg_speed_lag3,0.0
avg_rpm_rolling_std_3,0.0
avg_throttle_lag1,0.0
avg_throttle_lag2,0.0
avg_speed_lag1,0.0
avg_throttle_lag3,0.0
avg_speed_rolling_mean_3,0.0
avg_speed_lag2,0.0
avg_rpm_lag1,0.0
avg_throttle_rolling_std_3,0.0
avg_throttle_rolling_mean_3,0.0
speed_trap_std,0.0
speed_gain,0.0
speed_trap_cv,0.0
speed_trap_range,0.0
avg_speed_pow2,0.0
avg_throttle_pow2,0.0
ers_to_rpm_ratio,0.0
avg_ers_mode,0.0
drs_speed_interaction,0.0
ers_throttle_interaction,0.0
SpeedI1,0.0
SpeedI2,0.0
avg_sector_speed,0.0
speed_variance,0.0
energy_intensity,0.0
drs_speed_factor,0.0
stint_number,0.0
